323,260623737,RandomPlayer,0,260623737,22,game00323.log,
324,260623737,RandomPlayer,0,260623737,20,game00324.log,
326,260623737,RandomPlayer,0,260623737,25,game00326.log,
327,RandomPlayer,260623737,1,260623737,22,game00327.log,
328,260623737,RandomPlayer,0,260623737,18,game00328.log,
329,RandomPlayer,260623737,1,260623737,28,game00329.log,
330,260623737,RandomPlayer,0,260623737,31,game00330.log,
331,RandomPlayer,260623737,1,260623737,15,game00331.log,
332,260623737,RandomPlayer,0,260623737,26,game00332.log,
333,RandomPlayer,260623737,1,260623737,25,game00333.log,
334,260623737,RandomPlayer,0,260623737,41,game00334.log,
335,RandomPlayer,260623737,1,260623737,25,game00335.log,
336,260623737,RandomPlayer,1,RandomPlayer,36,game00336.log,
337,RandomPlayer,260623737,1,260623737,22,game00337.log,
338,260623737,RandomPlayer,0,260623737,28,game00338.log,
339,RandomPlayer,260623737,1,260623737,18,game00339.log,
340,260623737,RandomPlayer,0,260623737,32,game00340.log,
341,RandomPlayer,260623737,1,260623737,18,game00341.log,
342,260623737,RandomPlayer,0,260623737,24,game00342.log,
343,RandomPlayer,260623737,1,260623737,25,game00343.log,
344,260623737,RandomPlayer,1,RandomPlayer,33,game00344.log,
345,RandomPlayer,260623737,1,260623737,18,game00345.log,
346,260623737,RandomPlayer,0,260623737,24,game00346.log,
347,RandomPlayer,260623737,1,260623737,17,game00347.log,
348,260623737,RandomPlayer,0,260623737,34,game00348.log,
349,RandomPlayer,260623737,1,260623737,16,game00349.log,
350,260623737,RandomPlayer,0,260623737,17,game00350.log,
351,RandomPlayer,260623737,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,38,game00351.log,
352,260623737,RandomPlayer,1,RandomPlayer,31,game00352.log,
353,RandomPlayer,260623737,1,260623737,36,game00353.log,
354,260623737,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,35,game00354.log,
355,RandomPlayer,260623737,1,260623737,23,game00355.log,
356,260623737,RandomPlayer,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,33,game00356.log,
357,RandomPlayer,260623737,1,260623737,30,game00357.log,
358,260623737,RandomPlayer,0,260623737,38,game00358.log,
359,RandomPlayer,260623737,1,260623737,19,game00359.log,
360,260623737,RandomPlayer,0,260623737,18,game00360.log,
361,RandomPlayer,260623737,1,260623737,26,game00361.log,
362,260623737,RandomPlayer,0,260623737,27,game00362.log,
363,RandomPlayer,260623737,1,260623737,22,game00363.log,
364,260623737,RandomPlayer,0,260623737,39,game00364.log,
365,RandomPlayer,260623737,1,260623737,21,game00365.log,
366,260623737,RandomPlayer,0,260623737,24,game00366.log,
367,RandomPlayer,260623737,1,260623737,40,game00367.log,
368,260623737,RandomPlayer,0,260623737,20,game00368.log,
369,RandomPlayer,260623737,1,260623737,34,game00369.log,
370,260623737,RandomPlayer,0,260623737,20,game00370.log,
371,RandomPlayer,260623737,1,260623737,14,game00371.log,
372,260623737,RandomPlayer,0,260623737,35,game00372.log,
373,RandomPlayer,260623737,1,260623737,24,game00373.log,
374,260623737,RandomPlayer,0,260623737,22,game00374.log,
375,RandomPlayer,260623737,1,260623737,27,game00375.log,
376,260623737,RandomPlayer,0,260623737,29,game00376.log,
377,RandomPlayer,260623737,1,260623737,33,game00377.log,
379,260623737,RandomPlayer,0,260623737,13,game00379.log,
380,RandomPlayer,260623737,1,260623737,19,game00380.log,
381,260623737,RandomPlayer,0,260623737,13,game00381.log,
382,RandomPlayer,260623737,1,260623737,36,game00382.log,
383,260623737,RandomPlayer,0,260623737,21,game00383.log,
384,RandomPlayer,260623737,1,260623737,14,game00384.log,
385,260623737,RandomPlayer,0,260623737,24,game00385.log,
386,RandomPlayer,260623737,1,260623737,20,game00386.log,
387,260623737,RandomPlayer,0,260623737,32,game00387.log,
388,RandomPlayer,260623737,1,260623737,23,game00388.log,
389,260623737,RandomPlayer,1,RandomPlayer,35,game00389.log,
390,RandomPlayer,260623737,1,260623737,40,game00390.log,
391,260623737,RandomPlayer,0,260623737,34,game00391.log,
392,RandomPlayer,260623737,1,260623737,17,game00392.log,
393,260623737,RandomPlayer,0,260623737,20,game00393.log,
394,RandomPlayer,260623737,1,260623737,39,game00394.log,
395,260623737,RandomPlayer,0,260623737,36,game00395.log,
396,RandomPlayer,260623737,1,260623737,29,game00396.log,
397,260623737,RandomPlayer,1,RandomPlayer,38,game00397.log,
398,RandomPlayer,260623737,1,260623737,19,game00398.log,
399,260623737,RandomPlayer,0,260623737,25,game00399.log,
